stname,totchange,share,avgchange,avgpchange,avgdispincpchange
United States,-54329179300.43555,1,-638.2133661758453,-0.031798566849716714,0.0058174122722592005
Alabama,-217369605.46429348,0.004000973478032106,-219.6392806787935,-0.01597216550490705,0.002357758533191199
Alaska,-12792442.074980259,2.3546172130153463e-4,-59.849279841319,-0.004118489718080945,6.168683694142461e-4
Arizona,-519897755.2108631,0.009569401966038813,-322.720061230355,-0.01983006460561287,0.003262841559362859
Arkansas,-209679207.14125633,0.0038594215823093683,-364.3149389528335,-0.02313170890058035,0.003624659051018971
California,-12143712684.11438,0.2235210036389603,-1155.2972865718584,-0.04417232890728159,0.009152198771500577
Colorado,-768874253.4207039,0.014152141875158787,-465.69718091912364,-0.02407385036968287,0.004187854986146785
Connecticut,-1458998114.3958092,0.026854779203044445,-1296.701383057789,-0.04207652708524006,0.00943716960892018
Delaware,-121052398.93093014,0.0022281286131992,-444.14062815517354,-0.029626204803503395,0.004604564172857821
Florida,-1479508521.739273,0.027232300225956334,-284.8188554880071,-0.011634902321573345,0.002413933932945469
Georgia,-1326555557.1443024,0.02441699974535908,-580.2473378517279,-0.03197205201930952,0.005432954490668266
Hawaii,-168440765.18849897,0.003100373820429653,-406.59075538728393,-0.02855307660564614,0.004321725083899718
Idaho,-164059515.89659214,0.0030197311648931333,-425.5367260216808,-0.03154141484167678,0.004568476775580572
Illinois,-2647181397.769226,0.04872485525928061,-741.8675445734298,-0.03704202335240024,0.00670603512642606
Indiana,-514869896.8425827,0.009476857620016635,-309.5366340923738,-0.024064341731910164,0.0034986036923768237
Iowa,-391154228.7363148,0.007199708034852994,-460.3397061319247,-0.03646675571554913,0.005042025508805186
Kansas,-300543079.8583288,0.005531890665904453,-410.0161740225394,-0.02795784968755994,0.0042343601156334554
Kentucky,-426753408.9357834,0.00785495776727778,-438.6952757109193,-0.035977590212244344,0.005031835487251583
Louisiana,-265837972.668931,0.00489309752313523,-275.57684407706074,-0.01840150118938849,0.002898861848749275
Maine,-181616339.33028078,0.0033428875913247007,-492.2659485379245,-0.04119540961946689,0.005679691271787374
Maryland,-1783854709.7770348,0.032834192099837844,-950.434344490368,-0.04974541196048822,0.008549445672589393
Massachusetts,-2269053333.713829,0.041764910917688726,-997.5342783951382,-0.037338025469566744,0.00765491969562325
Michigan,-1100260135.1284218,0.020251734874257545,-420.0978011369116,-0.0278290133672532,0.00444030821278481
Minnesota,-1218938465.4062424,0.022436165631467036,-706.2851250671392,-0.041973254600857116,0.006849311373058157
Mississippi,-126283458.7160883,0.002324413148554149,-232.73590304049503,-0.02095418829640702,0.002818100958325095
Missouri,-639867576.0988731,0.01177760430652674,-428.35890151278363,-0.0301001846243495,0.004584159725837498
Montana,-107835490.53320456,0.001984854030959751,-395.60790386861663,-0.029830494453164873,0.004330854694956928
Nebraska,-262736364.951396,0.004836008353788802,-511.6105426348822,-0.03757489317796076,0.005439166591032288
Nevada,-141628833.89092636,0.002606864961234394,-185.50697758368187,-0.009415982658909673,0.0017777889082354688
New Hampshire,-170150545.30438328,0.0031318445722043,-374.2821074727981,-0.020902811333349838,0.003512391630411025
New Jersey,-3621923063.7823563,0.06666625762471844,-1303.1671618004511,-0.05175583829023858,0.010425101622018153
New Mexico,-101604053.15411806,0.0018701562302691275,-222.74697214395746,-0.018130221462763565,0.0026042657778220534
New York,-6684030855.07515,0.12302837887745462,-1174.6145505872119,-0.040091278618019636,0.009144375607471679
North Carolina,-1151468554.1650772,0.021194293177107613,-490.22861306109735,-0.031583936219337805,0.004996317801096821
North Dakota,-32280977.187389374,5.941738418112012e-4,-144.9777804338446,-0.010116779956930695,0.0015081554008961329
Ohio,-1385470263.601307,0.02550140240366561,-450.48836721587213,-0.03385584490736951,0.0050142467148203695
Oklahoma,-245241277.32386875,0.004513988256065976,-302.311692762054,-0.020789994381687476,0.003166859470921497
Oregon,-826378505.9596863,0.015210583274042967,-731.4425480923728,-0.046308885958467334,0.007318319497515823
Pennsylvania,-1933679688.022049,0.03559191787766518,-532.2335063691535,-0.032221776789979374,0.005330124500875016
Rhode Island,-203522364.0916748,0.003746096788361447,-630.0426987159717,-0.04074574205705536,0.0065809616976592366
South Carolina,-476094680.41284657,0.008763148763578503,-422.49324648583024,-0.030104605338909046,0.004547200473361524
South Dakota,-29064650.70570779,5.34973122729921e-4,-123.67527793542831,-0.008897209764327655,0.0013152736605471591
Tennessee,-193424194.79980278,0.003560226701202021,-127.31869808361989,-0.00826154495529548,0.0013288844987044328
Texas,-2105430521.9024353,0.038753217865846845,-323.05798768703244,-0.01508224686960919,0.002816649429225099
Utah,-303111004.4882231,0.0055791566961106865,-425.31827296159463,-0.027037322545642943,0.00413946694329269
Vermont,-101204162.58129644,0.0018627957183311456,-523.6023128487559,-0.04045763032198319,0.0058203827753496185
Virginia,-1726268281.9943466,0.03177423815751451,-723.3067407812741,-0.03721844743478264,0.006405739975881045
Washington,-580819281.6989441,0.010690742786432774,-257.70599498933007,-0.01236356579588806,0.0021982582449491957
West Virginia,-101893506.15249348,0.001875483993399411,-269.27457165073247,-0.026345436427725327,0.0033617913856015622
Wisconsin,-898711321.5722313,0.016541963879160355,-527.3354313165437,-0.03876138952209321,0.0057252968281233515
Wyoming,-22198031.79470682,4.08583970539177e-4,-142.44799808018797,-0.006515476797924506,0.0012060349448815245
