stubnum,stub,avgval_base,avgval_reform,avgval_change,avgval_pchange,avgxpinc_pchange
0,Overall average,20070.50723990509,19413.948268981047,-656.5589709240448,-0.032712624702311684,NA
1,Under $1,2088.307201968847,2088.307201968847,0,0,NA
2,$1 to < $25k,145.29499373749752,145.26524497526052,-0.02974876223700562,-2.047473314239051e-4,NA
3,$25k < 50k,1398.6636928476564,1394.1937275892221,-4.469965258434286,-0.0031958828139261337,NA
4,$50k < 75k,3728.2091587511673,3705.5057913726514,-22.70336737851585,-0.006089617403901439,NA
5,$75k < $100k,6953.454589529278,6880.812556887372,-72.64203264190564,-0.010446898258499052,NA
6,$100k < $200k,13872.280334105875,13532.118075236189,-340.1622588696864,-0.02452100524766473,NA
7,$200k < $500k,48320.56766712763,45703.052932026774,-2617.5147351008563,-0.054169784451467556,NA
8,$500k < $1m,162767.14408082602,151747.8549995255,-11019.289081300522,-0.0676997138674905,NA
9,$1m+,976434.0410728413,959023.4194789903,-17410.621593851014,-0.01783082201304798,NA
